Order Date,Listing Address,Formatted Address,Order/Listing
12/2/24 14:09,"2232 W Lindner Ave 22, Mesa, AZ 85202",2232 w lindner ave 22 mesa az 85202,
12/2/24 14:09,"23071 N 98th Dr, Peoria, AZ 85383",23071 n 98th dr peoria az 85383,
12/2/24 14:31,"14198 N Sunset Gallery Dr, Marana, AZ 85658",14198 n sunset gallery dr marana az 85658,
12/2/24 14:47,"3030 E Camino Juan Paisano, Tucson, AZ 85718",3030 e camino juan paisano tucson az 85718,
12/2/24 15:20,"2111 E Sunland Vista, Tucson, AZ 85713",2111 e sunland vista tucson az 85713,
12/2/24 15:28,"9449 N Elan Ln, Tucson, AZ 85742",9449 n elan ln tucson az 85742,
12/2/24 16:12,"12417 W Sweetwater Ave, El Mirage, AZ 85335",12417 w sweetwater ave el mirage az 85335,
12/2/24 16:35,"125 N 22nd Pl unit 127, Mesa, AZ 85213",125 n 22nd pl unit 127 mesa az 85213,
12/2/24 16:48,"6030 W Kimberly Way, Glendale, AZ 85308",6030 w kimberly way glendale az 85308,
12/2/24 19:14,"6936 E 4th St unit 11, Scottsdale, AZ 85251",6936 e 4th st unit 11 scottsdale az 85251,
12/3/24 0:38,"20871 E. Kingbird Drive, Queen Creek, AZ 85142",20871 e. kingbird drive queen creek az 85142,
12/3/24 6:37,"2509 E University Dr, Tempe, AZ 85288",2509 e university dr tempe az 85288,
12/3/24 7:46,"8770 E Baker St, Tucson, AZ 85710",8770 e baker st tucson az 85710,
12/3/24 9:12,"7682 W Starry Night Ln, Tucson, AZ 85743",7682 w starry night ln tucson az 85743,
12/3/24 9:49,"2196 Swallow Cir SE, Atlanta, GA 30315",2196 swallow cir se atlanta ga 30315,
12/3/24 9:49,"5995 N 78th St, Scottsdale, AZ 85250",5995 n 78th st scottsdale az 85250,
12/3/24 10:08,"10352 W Sands Dr 469, Peoria, AZ 85383",10352 w sands dr 469 peoria az 85383,
12/3/24 10:24,"2302 El Molino Cir, Las Vegas, NV 89108",2302 el molino cir las vegas nv 89108,
12/3/24 11:13,"3645 S Avenida de Encino, Green Valley, AZ 85614",3645 s avenida de encino green valley az 85614,
12/3/24 11:56,"1819 E Barn Swallow Ln, Green Valley, AZ 85614",1819 e barn swallow ln green valley az 85614,
12/3/24 11:57,"1520 N Blue Mills Rd, Independence, MO 64056",1520 n blue mills rd independence mo 64056,
12/3/24 12:06,"8908 Marble Dr, Las Vegas, NV 89134",8908 marble dr las vegas nv 89134,
12/3/24 12:06,"4981 E Shapinsay Dr, San Tan Valley, AZ 85140",4981 e shapinsay dr san tan valley az 85140,
12/3/24 12:10,"3001 Morning Mist Rd, Edmond, OK 73034",3001 morning mist rd edmond ok 73034,
12/3/24 12:20,"1009 Howell Terrace Pl, Round Rock, TX 78664",1009 howell terrace pl round rock tx 78664,
12/3/24 12:21,"65144 E Emerald Ridge Dr, Tucson, AZ 85739",65144 e emerald ridge dr tucson az 85739,
12/3/24 12:47,"1720 E Thunderbird Rd 2038, Phoenix, AZ 85022",1720 e thunderbird rd 2038 phoenix az 85022,
12/3/24 12:48,"14674 W Mauna Loa Ln, Surprise, AZ 85379",14674 w mauna loa ln surprise az 85379,
12/3/24 12:52,"1650 E Storey Rd, Coolidge, AZ 85128",1650 e storey rd coolidge az 85128,
12/3/24 13:06,"5815 Harrington Dr, Orlando, FL 32808",5815 harrington dr orlando fl 32808,
12/3/24 13:13,"7118 E Arbor Ave, Mesa, AZ 85208",7118 e arbor ave mesa az 85208,
12/3/24 14:40,"11404 S 208th Ave, Buckeye, AZ 85326",11404 s 208th ave buckeye az 85326,
12/3/24 15:13,"1828 N Sunview, Mesa, AZ 85205",1828 n sunview mesa az 85205,
12/3/24 15:24,"3334 E Desert Cove Ave, Phoenix, AZ 85028",3334 e desert cove ave phoenix az 85028,
12/3/24 15:57,"26617 S Sedona Dr, Sun Lakes, AZ 85248",26617 s sedona dr sun lakes az 85248,
12/3/24 16:52,"6135 W Belleview St, Phoenix, AZ 85043",6135 w belleview st phoenix az 85043,
12/3/24 19:07,"620 S BH Carrol Pl, Corona de Tucson, AZ 85641",620 s bh carrol pl corona de tucson az 85641,
12/4/24 7:21,"1121 N Revere, Mesa, AZ 85201",1121 n revere mesa az 85201,
12/4/24 11:20,"2354 S Buttercup, Mesa, AZ 85209",2354 s buttercup mesa az 85209,
12/4/24 11:43,"29282 W Clarendon Ave, Buckeye, AZ 85396",29282 w clarendon ave buckeye az 85396,
12/4/24 11:43,"1436 E Downing St, Mesa, AZ 85203",1436 e downing st mesa az 85203,
12/4/24 11:57,"1914 W Hayward Ave 22, Phoenix, AZ 85021",1914 w hayward ave 22 phoenix az 85021,
12/4/24 11:58,"5880 S Painted Canyon Dr, Green Valley, AZ 85622",5880 s painted canyon dr green valley az 85622,
12/4/24 12:10,"35 Taunton Rd, Covington, GA 30014",35 taunton rd covington ga 30014,
12/4/24 12:32,"4880 W Rose Ln, Glendale, AZ 85301",4880 w rose ln glendale az 85301,
12/4/24 13:23,"951 W Rio Guaymas, Green Valley, AZ 85614",951 w rio guaymas green valley az 85614,
12/4/24 13:34,"11404 S 208th Ln, Buckeye, AZ 85326",11404 s 208th ln buckeye az 85326,
12/4/24 13:40,"30034 N 128th Ave, Peoria, AZ 85383",30034 n 128th ave peoria az 85383,
12/4/24 13:58,"3823 W Morgan Ln, Queen Creek, AZ 85142",3823 w morgan ln queen creek az 85142,
12/4/24 14:30,"34980 N Augite Way, Queen Creek, AZ 85142",34980 n augite way queen creek az 85142,
12/4/24 14:34,"1619 W Colt Rd, Chandler, AZ 85224",1619 w colt rd chandler az 85224,
12/4/24 14:43,"12530 W Tyler Trail, Peoria, AZ 85383",12530 w tyler trail peoria az 85383,
12/4/24 14:45,"10610 W Saratoga Cir, Sun City, AZ 85351",10610 w saratoga cir sun city az 85351,
12/4/24 14:48,"5526 N Camino Arenosa, Tucson, AZ 85718",5526 n camino arenosa tucson az 85718,
12/4/24 14:53,"1663 W Calle Del Grajo, Green Valley, AZ 85622",1663 w calle del grajo green valley az 85622,
12/4/24 15:26,"8054 Tulip Bulb St, Las Vegas, NV 89113",8054 tulip bulb st las vegas nv 89113,
12/4/24 15:39,"1394 High Meadow Dr, Stone Mountain, GA 30083",1394 high meadow dr stone mountain ga 30083,
12/4/24 16:00,"2560 Dukeland Dr, St. Louis, MO 63136",2560 dukeland dr st. louis mo 63136,
12/4/24 16:02,"6142 Berewick Commons Pkwy, Charlotte, NC 28278",6142 berewick commons pkwy charlotte nc 28278,
12/4/24 16:02,"224 Jalapa Dr, Kissimmee, FL 34743",224 jalapa dr kissimmee fl 34743,
12/4/24 16:07,"406 Fred St, Orlando, FL 32811",406 fred st orlando fl 32811,
12/4/24 16:26,"5936 E Everhart Ln, Florence, AZ 85132",5936 e everhart ln florence az 85132,
12/4/24 17:45,"2645 E Osborn Rd 3, Phoenix, AZ 85016",2645 e osborn rd 3 phoenix az 85016,
12/4/24 18:50,"1900 W Fontana Ave, Las Vegas, NV 89106",1900 w fontana ave las vegas nv 89106,
12/4/24 19:07,"3893 E Loma Vista St, Gilbert, AZ 85295",3893 e loma vista st gilbert az 85295,
12/4/24 19:19,"700 Park Paseo, Las Vegas, NV 89104",700 park paseo las vegas nv 89104,
12/4/24 19:52,"7488 Bakewell Ave, Las Vegas, NV 89179",7488 bakewell ave las vegas nv 89179,
12/5/24 5:46,"7495 Bullard Rd, Clemmons, NC 27012",7495 bullard rd clemmons nc 27012,
12/5/24 6:01,"4252 Lamar St, Decatur, GA 30035",4252 lamar st decatur ga 30035,
12/5/24 6:06,"2543 Brentwood Rd, Decatur, GA 30032",2543 brentwood rd decatur ga 30032,
12/5/24 6:57,"1140 Heritage Valley Rd, Norcross, GA 30093",1140 heritage valley rd norcross ga 30093,
12/5/24 7:06,"4018 Vershire Ave, Greensboro, NC 27406",4018 vershire ave greensboro nc 27406,
12/5/24 7:20,"1237 Wynford Woods, Marietta, GA 30064",1237 wynford woods marietta ga 30064,
12/5/24 8:13,"1035 S 99th Pl, Mesa, AZ 85208",1035 s 99th pl mesa az 85208,
12/5/24 8:21,"11337 E Elena Ave, Mesa, AZ 85208",11337 e elena ave mesa az 85208,
12/5/24 8:52,"6576 Snow Bird Ln, Douglasville, GA 30134",6576 snow bird ln douglasville ga 30134,
12/5/24 9:26,"2479 Brentwood Rd, Decatur, GA 30032",2479 brentwood rd decatur ga 30032,
12/5/24 9:30,"524 S Allred Dr, Tempe, AZ 85288",524 s allred dr tempe az 85288,
12/5/24 9:30,"21951 E Misty Ln, Queen Creek, AZ 85142",21951 e misty ln queen creek az 85142,
12/5/24 10:11,"140 E Dawn Dr, Tempe, AZ 85284",140 e dawn dr tempe az 85284,
12/5/24 10:28,"6516 N 43rd Pl, Paradise Valley, AZ 85253",6516 n 43rd pl paradise valley az 85253,
12/5/24 10:36,"578 N Ramos Ln, Green Valley, AZ 85614",578 n ramos ln green valley az 85614,
12/5/24 10:39,"12746 W Sharon Dr, El Mirage, AZ 85335",12746 w sharon dr el mirage az 85335,
12/5/24 10:42,"6246 W Royal Fern Dr, Tucson, AZ 85757",6246 w royal fern dr tucson az 85757,
12/5/24 11:40,"1968 Twin Falls Rd, Decatur, GA 30032",1968 twin falls rd decatur ga 30032,
12/5/24 11:41,"1061 W Sunward Dr, Gilbert, AZ 85233",1061 w sunward dr gilbert az 85233,
12/5/24 12:31,"7243 E Portland St, Scottsdale, AZ 85257",7243 e portland st scottsdale az 85257,
12/5/24 12:52,"429 W Windham Blvd, Green Valley, AZ 85614",429 w windham blvd green valley az 85614,
12/5/24 12:57,"2662 S Springwood Blvd 445, Mesa, AZ 85209",2662 s springwood blvd 445 mesa az 85209,
12/5/24 13:18,"8016 S Lennox Ln, Tucson, AZ 85747",8016 s lennox ln tucson az 85747,
12/5/24 13:38,"12200 E 62nd Terrace, Kansas City, MO 64133",12200 e 62nd terrace kansas city mo 64133,
12/5/24 13:39,"395 Dublin Way, Dallas, GA 30132",395 dublin way dallas ga 30132,
12/5/24 13:39,"5804 Hedges Ave, Raytown, MO 64133",5804 hedges ave raytown mo 64133,
12/5/24 13:40,"5808 Fairlane Dr, Kansas City, MO 64134",5808 fairlane dr kansas city mo 64134,
12/5/24 13:41,"5911 Claremont Ave, Raytown, MO 64133",5911 claremont ave raytown mo 64133,
12/5/24 13:42,"10938 Delphi Dr, IN 46113",10938 delphi dr in 46113,
12/5/24 13:44,"15527 Fox Plains Dr, Florissant, MO 63034",15527 fox plains dr florissant mo 63034,
12/5/24 13:47,"1217 S D St, Lake Worth Beach, FL 33460",1217 s d st lake worth beach fl 33460,
12/5/24 13:48,"21201 NW 27th Ct, Miami Gardens, FL 33056",21201 nw 27th ct miami gardens fl 33056,
12/5/24 13:51,"4730 NW 3rd Ave, Fort Lauderdale, FL 33309",4730 nw 3rd ave fort lauderdale fl 33309,
12/5/24 13:57,"2442 E Nasturtium St, Oro Valley, AZ 85755",2442 e nasturtium st oro valley az 85755,
12/5/24 14:04,"315 Holiday Hl, Florissant, MO 63033",315 holiday hl florissant mo 63033,
12/5/24 14:19,"230 W Mora Dr, Green Valley, AZ 85614",230 w mora dr green valley az 85614,
12/5/24 14:35,"2498 N Bryan Cir, East Point, GA 30344",2498 n bryan cir east point ga 30344,
12/5/24 16:44,"4932 E Greasewood St, Apache Junction, AZ 85119",4932 e greasewood st apache junction az 85119,
12/5/24 16:59,"1886 E Don Carlos unit 129, Tempe, AZ 85281",1886 e don carlos unit 129 tempe az 85281,
12/5/24 17:04,"1433 N Honeysuckle Ln, Gilbert, AZ 85234",1433 n honeysuckle ln gilbert az 85234,
12/6/24 6:20,"3443 E Tonto Ln, Phoenix, AZ 85050",3443 e tonto ln phoenix az 85050,
12/6/24 6:38,"7518 E Chalkboard Ct, Tucson, AZ 85715",7518 e chalkboard ct tucson az 85715,
12/6/24 7:25,"633 Larchmont Cir NW, Atlanta, GA 30318",633 larchmont cir nw atlanta ga 30318,
12/6/24 8:17,"36073 Stoneware Dr, San Tan Valley, AZ 85140",36073 stoneware dr san tan valley az 85140,
12/6/24 8:51,"8775 Lee Rd, Lithia Springs, GA 30122",8775 lee rd lithia springs ga 30122,
12/6/24 9:11,"2230 NE 37th Rd, Homestead, FL 33033",2230 ne 37th rd homestead fl 33033,
12/6/24 10:22,"4531 Kreeger Rd, Winston-Salem, NC 27106",4531 kreeger rd winston-salem nc 27106,
12/6/24 10:42,"7868 S Dateland Dr, Tempe, AZ 85284",7868 s dateland dr tempe az 85284,
12/6/24 11:28,"6048 W Yuma Mine Cir, Tucson, AZ 85743",6048 w yuma mine cir tucson az 85743,
12/6/24 11:38,"7120 E Kierland Blvd 202, Scottsdale, AZ 85254",7120 e kierland blvd 202 scottsdale az 85254,
12/6/24 11:48,"2935 SE 15th Ave, Homestead, FL 33035",2935 se 15th ave homestead fl 33035,
12/6/24 11:49,"1682 SE 31st Ct, Homestead, FL 33035",1682 se 31st ct homestead fl 33035,
12/6/24 11:50,"2972 SE 15th Terrace, Homestead, FL 33035",2972 se 15th terrace homestead fl 33035,
12/6/24 11:51,"1564 SE 31st Ct, Homestead, FL 33035",1564 se 31st ct homestead fl 33035,
12/6/24 11:54,"14281 SW 285th St, Homestead, FL 33033",14281 sw 285th st homestead fl 33033,
12/6/24 11:55,"7334 S Morning Dew Ln, Buckeye, AZ 85326",7334 s morning dew ln buckeye az 85326,
12/6/24 11:57,"23519 SW 112th Ct, Homestead, FL 33032",23519 sw 112th ct homestead fl 33032,
12/6/24 12:02,"215 N Tucson Blvd, Tucson, AZ 85716",215 n tucson blvd tucson az 85716,
12/6/24 12:30,"6701 Boulevard of Champions, North Lauderdale, FL 33068",6701 boulevard of champions north lauderdale fl 33068,
12/6/24 12:36,"3641 NW 193rd St, Miami Gardens, FL 33056",3641 nw 193rd st miami gardens fl 33056,
12/6/24 12:37,"23219 N 41st St, Phoenix, AZ 85050",23219 n 41st st phoenix az 85050,
12/6/24 12:39,"2627 Gross Rd, Dallas, TX 75228",2627 gross rd dallas tx 75228,
12/6/24 12:42,"2329 Meadowlane Dr SW, Atlanta, GA 30311",2329 meadowlane dr sw atlanta ga 30311,
12/6/24 12:44,"901 SW 109th Ave, Pembroke Pines, FL 33025",901 sw 109th ave pembroke pines fl 33025,
12/6/24 12:45,"213 Woodley St, Las Vegas, NV 89106",213 woodley st las vegas nv 89106,
12/6/24 12:53,"320 NW 191st St, Miami, FL 33169",320 nw 191st st miami fl 33169,
12/6/24 12:57,"1508 SE 31st Ct, Homestead, FL 33035",1508 se 31st ct homestead fl 33035,
12/6/24 13:01,"3802 N 147th Dr, Goodyear, AZ 85395",3802 n 147th dr goodyear az 85395,
12/6/24 13:18,"3601 Pinnate Dr, Las Vegas, NV 89147",3601 pinnate dr las vegas nv 89147,
12/6/24 14:08,"5255 E Starhaven Ln, Tucson, AZ 85739",5255 e starhaven ln tucson az 85739,
12/6/24 14:11,"3609 S Desert Echo Rd, Tucson, AZ 85735",3609 s desert echo rd tucson az 85735,
12/6/24 14:23,"4901 Leprechaun Way, Orlando, FL 32808",4901 leprechaun way orlando fl 32808,
12/6/24 14:53,"3010 La Estancia Ln, Houston, TX 77093",3010 la estancia ln houston tx 77093,
12/6/24 15:01,"269 N Winchester Rd 63, Apache Junction, AZ 85119",269 n winchester rd 63 apache junction az 85119,
12/6/24 15:02,"15668 W Devonshire Ave, Goodyear, AZ 85395",15668 w devonshire ave goodyear az 85395,
12/6/24 15:03,"400 Holland Ave, Las Vegas, NV 89106",400 holland ave las vegas nv 89106,
12/6/24 15:20,"20784 W Minnezona Ave, Buckeye, AZ 85396",20784 w minnezona ave buckeye az 85396,
12/6/24 15:30,"3861 S Havenhurst Dr, Tucson, AZ 85730",3861 s havenhurst dr tucson az 85730,
12/6/24 15:34,"5808 E 96th Terrace, Kansas City, MO 64134",5808 e 96th terrace kansas city mo 64134,
12/6/24 15:43,"7272 E Gainey Ranch Rd unit 75, Scottsdale, AZ 85258",7272 e gainey ranch rd unit 75 scottsdale az 85258,
12/6/24 15:49,"2611 E Florence Dr, Tucson, AZ 85716",2611 e florence dr tucson az 85716,
12/6/24 15:51,"18135 S Camino De Las Quintas, Sahuarita, AZ 85629",18135 s camino de las quintas sahuarita az 85629,
12/6/24 16:06,"797 E Las Puertas Ln, Queen Creek, AZ 85140",797 e las puertas ln queen creek az 85140,
12/6/24 20:11,"1750 W Camino Estelar, Green Valley, AZ 85622",1750 w camino estelar green valley az 85622,
12/6/24 22:45,"208 S Montgomery Pl, Corona de Tucson, AZ 85641",208 s montgomery pl corona de tucson az 85641,
12/6/24 23:18,"8409 N Crested Quail Dr, Tucson, AZ 85743",8409 n crested quail dr tucson az 85743,
12/7/24 0:48,"312 E O'Neil Dr 103, Casa Grande, AZ 85122",312 e o'neil dr 103 casa grande az 85122,
12/7/24 0:55,"312 E O'Neil Dr 125, Casa Grande, AZ 85122",312 e o'neil dr 125 casa grande az 85122,
12/7/24 2:29,"3339 E Tonopah Dr, Phoenix, AZ 85050",3339 e tonopah dr phoenix az 85050,
12/7/24 10:30,"695 W Calle media Luz, sahaurita, AZ 85629",695 w calle media luz sahaurita az 85629,
12/7/24 14:29,"3059 E Hazeltine Way, Chandler, AZ 85249",3059 e hazeltine way chandler az 85249,
12/7/24 15:02,"6397 S Cowpoke Dr, Tucson, AZ 85757",6397 s cowpoke dr tucson az 85757,
12/7/24 20:39,"6616 Crossing Creek Point, Austell, GA 30168",6616 crossing creek point austell ga 30168,
12/7/24 20:54,"1070 Meadowsong Cir, Lawrenceville, GA 30043",1070 meadowsong cir lawrenceville ga 30043,
12/8/24 8:33,"805 N 4th Ave 101, Phoenix, AZ 85003",805 n 4th ave 101 phoenix az 85003,
12/8/24 8:38,"1312 Avenida Gutierrez, Rio Rico, AZ 85648",1312 avenida gutierrez rio rico az 85648,
12/8/24 9:05,"11533 E Ramblewood Ave, Mesa, AZ 85212",11533 e ramblewood ave mesa az 85212,
12/8/24 9:23,"3972 Glenwood Downs Ln, Decatur, GA 30035",3972 glenwood downs ln decatur ga 30035,
12/8/24 9:49,"3124 Gross Ave, Wake Forest, NC 27587",3124 gross ave wake forest nc 27587,
12/8/24 10:44,"9018 W Grayling Dr, Marana, AZ 85653",9018 w grayling dr marana az 85653,
12/8/24 11:47,"7019 S Golfside Ln, Phoenix, AZ 85042",7019 s golfside ln phoenix az 85042,
12/8/24 11:55,"8614 W Purdue Ave, Peoria, AZ 85345",8614 w purdue ave peoria az 85345,
12/8/24 12:02,"10582 W Salter Dr, Peoria, AZ 85382",10582 w salter dr peoria az 85382,
12/8/24 15:14,"3963 w Lariat Ct, Eloy, AZ 85131",3963 w lariat ct eloy az 85131,
12/8/24 19:43,"13622 N 98th Ave R, Sun City, AZ 85351",13622 n 98th ave r sun city az 85351,
12/9/24 0:05,"5560 N Silver Stream Way, Tucson, AZ 85704",5560 n silver stream way tucson az 85704,
12/9/24 7:28,"469 Omnia Ridge Way, Lawrenceville, GA 30044",469 omnia ridge way lawrenceville ga 30044,
12/9/24 7:28,"5250 W Harmont Dr, Glendale, AZ 85302",5250 w harmont dr glendale az 85302,
12/9/24 8:27,"4796 Fairforest Dr, Stone Mountain, GA 30088",4796 fairforest dr stone mountain ga 30088,
12/9/24 8:51,"244 N Wesley, Mesa, AZ 85207",244 n wesley mesa az 85207,
12/9/24 9:21,"605 E Papago Dr, Tempe, AZ 85288",605 e papago dr tempe az 85288,
12/9/24 9:24,"2 Via Siena Pl, Henderson, NV 89011",2 via siena pl henderson nv 89011,
12/9/24 9:46,"809 S Fremont Ave, Tucson, AZ 85719",809 s fremont ave tucson az 85719,
12/9/24 9:46,"2558 12th Ave S, St. Petersburg, FL 33712",2558 12th ave s st. petersburg fl 33712,
12/9/24 9:58,"2827 S 99th St, Mesa, AZ 85212",2827 s 99th st mesa az 85212,
12/9/24 10:18,"10778 N Sand Canyon Pl, Tucson, AZ 85737",10778 n sand canyon pl tucson az 85737,
12/9/24 10:31,"38110 S Birdie Dr, Tucson, AZ 85739",38110 s birdie dr tucson az 85739,
12/9/24 10:40,"7313 N 69th Ave, Glendale, AZ 85303",7313 n 69th ave glendale az 85303,
12/9/24 11:03,"14243 N 49th St, Scottsdale, AZ 85254",14243 n 49th st scottsdale az 85254,
12/9/24 11:26,"5436 Wood Crossing St, Orlando, FL 32811",5436 wood crossing st orlando fl 32811,
12/9/24 11:49,"10440 W Kingswood Cir, Sun City, AZ 85351",10440 w kingswood cir sun city az 85351,
12/9/24 12:15,"5518 E Lindstrom Ln 2005, Mesa, AZ 85215",5518 e lindstrom ln 2005 mesa az 85215,
12/9/24 12:21,"5792 E 12th Ave, Apache Junction, AZ 85119",5792 e 12th ave apache junction az 85119,
12/9/24 12:31,"1032 Richmond Pl Way, Loganville, GA 30052",1032 richmond pl way loganville ga 30052,
12/9/24 12:31,"2828 Weston Brook Ct, Duluth, GA 30096",2828 weston brook ct duluth ga 30096,
12/9/24 12:37,"1410 Willow Dr, Riverdale, GA 30296",1410 willow dr riverdale ga 30296,
12/9/24 12:39,"5734 Dorian Ct, Lithonia, GA 30058",5734 dorian ct lithonia ga 30058,
12/9/24 12:42,"6303 Creekford Ln, Lithonia, GA 30058",6303 creekford ln lithonia ga 30058,
12/9/24 12:42,"3358 Orange Blossom Rd, Decatur, GA 30034",3358 orange blossom rd decatur ga 30034,
12/9/24 12:45,"1401 Sunny Glen St, Fort Worth, TX 76134",1401 sunny glen st fort worth tx 76134,
12/9/24 12:48,"16402 Espinosa Dr, Houston, TX 77083",16402 espinosa dr houston tx 77083,
12/9/24 12:48,"2940 Barnwood Crossing NW, Duluth, GA 30097",2940 barnwood crossing nw duluth ga 30097,
12/9/24 12:51,"2801 Upland Trail Ln, Aubrey, TX 76227",2801 upland trail ln aubrey tx 76227,
12/9/24 12:54,"12027 Harbour Town Pkwy, Fayetteville, GA 30215",12027 harbour town pkwy fayetteville ga 30215,
12/9/24 12:59,"4219 Calla Dr, Heath, TX 75126",4219 calla dr heath tx 75126,
12/9/24 13:02,"7517 Noble Oaks Dr, Fort Worth, TX 76120",7517 noble oaks dr fort worth tx 76120,
12/9/24 13:05,"1215 Catalina Pkwy, McDonough, GA 30252",1215 catalina pkwy mcdonough ga 30252,
12/9/24 13:08,"1962 Pine Oak Dr SW, Atlanta, GA 30310",1962 pine oak dr sw atlanta ga 30310,
12/9/24 13:14,"2893 Heather Dr, Atlanta, GA 30344",2893 heather dr atlanta ga 30344,
12/9/24 13:54,"5675 N Camino Esplendora 5228, Tucson, AZ 85718",5675 n camino esplendora 5228 tucson az 85718,
12/9/24 14:08,"1436 E Charleston Ave, Phoenix, AZ 85022",1436 e charleston ave phoenix az 85022,
12/9/24 14:14,"11328 E Dreyfus Ave, Scottsdale, AZ 85259",11328 e dreyfus ave scottsdale az 85259,
12/9/24 14:21,"1841 Northwick Pl, Lithonia, GA 30058",1841 northwick pl lithonia ga 30058,
12/9/24 14:27,"2761 Whisper Ct, Douglasville, GA 30135",2761 whisper ct douglasville ga 30135,
12/9/24 14:34,"4635 Garden Hills Dr, Stone Mountain, GA 30083",4635 garden hills dr stone mountain ga 30083,
12/9/24 14:39,"2233 E Highland Ave 136, Phoenix, AZ 85016",2233 e highland ave 136 phoenix az 85016,
12/9/24 15:03,"2430 Melton Common Dr, Dacula, GA 30019",2430 melton common dr dacula ga 30019,
12/9/24 15:05,"2100 N Trekell Rd 249, Casa Grande, AZ 85122",2100 n trekell rd 249 casa grande az 85122,
12/9/24 15:06,"3365 Canary Lake Dr NW, Duluth, GA 30096",3365 canary lake dr nw duluth ga 30096,
12/9/24 15:11,"3430 Knoll Point Dr, Garland, TX 75043",3430 knoll point dr garland tx 75043,
12/9/24 15:19,"607 N Davis Dr, Arlington, TX 76012",607 n davis dr arlington tx 76012,
12/9/24 15:22,"2801 Sybil Dr, Mesquite, TX 75149",2801 sybil dr mesquite tx 75149,
12/9/24 15:23,"12800 Briar Forest Dr, Houston, TX 77077",12800 briar forest dr houston tx 77077,
12/9/24 15:27,"18023 Autumn Trails Ln, Katy, TX 77449",18023 autumn trails ln katy tx 77449,
12/9/24 15:29,"3030 Ciderwood Dr, Spring, TX 77373",3030 ciderwood dr spring tx 77373,
12/9/24 15:36,"5344 Tallowpine Terrace, Katy, TX 77493",5344 tallowpine terrace katy tx 77493,
12/9/24 16:20,"1747 E Northern Ave unit 218, Phoenix, AZ 85020",1747 e northern ave unit 218 phoenix az 85020,
12/9/24 17:11,"21320 N 56th St 2175, Phoenix, AZ 85054",21320 n 56th st 2175 phoenix az 85054,
12/9/24 18:16,"13401 N Rancho Vistoso Blvd 155, Oro Valley, AZ 85755",13401 n rancho vistoso blvd 155 oro valley az 85755,
12/9/24 21:43,"3923 E Archer Dr, San Tan Valley, AZ 85140",3923 e archer dr san tan valley az 85140,
12/10/24 6:12,"29 Belle La Blanc Ave, Las Vegas, NV 89123",29 belle la blanc ave las vegas nv 89123,
12/10/24 8:19,"7798 E Whileaway Pl, Tucson, AZ 85750",7798 e whileaway pl tucson az 85750,
12/10/24 9:18,"3043 W Country Hill Dr, Tucson, AZ 85742",3043 w country hill dr tucson az 85742,
12/10/24 9:27,"10837 N Cormac Ave, Tucson, AZ 85742",10837 n cormac ave tucson az 85742,
